payment_id,loan_id,payment_date,amount,principal_paid,interest_paid
59,6,2021-02-26,1603.53,1198.88,404.65
60,6,2021-03-17,1795.07,1521.51,273.56
61,6,2021-04-11,1905.87,1263.29,642.58
62,6,2021-05-29,1605.76,1127.7,478.06
63,6,2021-06-21,1899.54,1124.56,774.98
64,6,2021-07-20,1855.2,1449.77,405.43
65,6,2021-08-15,1504.66,1318.32,186.34
66,6,2021-09-21,1405.31,1033.78,371.53
67,6,2021-10-24,1411.05,998.78,412.27
68,6,2021-11-12,1934.62,1389.21,545.41
69,6,2021-12-09,1712.72,1227.6,485.12
70,6,2022-01-12,1419.5,994.86,424.64
71,6,2022-02-07,1681.45,1199.11,482.34
72,6,2022-03-24,1766.11,980.32,785.79
73,6,2022-04-06,1701.11,940.73,760.38
74,6,2022-05-20,1998.82,1028.86,969.96
75,6,2022-06-16,1513.94,1319.04,194.9
76,6,2022-07-09,1668.5,1358.78,309.72
77,6,2022-08-12,1608.14,1312.42,295.72
78,6,2022-09-15,1882.08,1311.21,570.87
79,6,2022-10-05,1728.84,1138.13,590.71
80,6,2022-11-17,1915.57,1365.8,549.77
81,6,2022-12-02,1665.87,860.98,804.89
82,6,2023-01-04,1974.99,1168.06,806.93
83,6,2023-01-30,2008.23,1703.05,305.18
84,6,2023-03-12,1476.08,769.4,706.68
85,6,2023-04-15,1437.71,953.93,483.78
86,6,2023-05-17,1595.47,1415.91,179.56
87,6,2023-06-09,1902.11,1171.54,730.57
88,6,2023-07-14,1928.87,1453.97,474.9
89,6,2023-07-29,1644.74,977.57,667.17
90,6,2023-09-12,1739.96,1118.97,620.99
91,6,2023-09-28,1912.41,1625.16,287.25
92,6,2023-11-01,1587.65,947.39,640.26
93,6,2023-12-03,2007.12,1399.48,607.64
94,6,2023-12-27,1558.57,1129.75,428.82
95,6,2024-01-29,1545.52,1166.68,378.84
96,6,2024-03-13,1899.01,1203.39,695.62
97,6,2024-03-29,1528.49,1342.16,186.33
98,6,2024-05-01,1703.72,1314.64,389.08
99,6,2024-05-26,1556.51,800.66,755.85
100,6,2024-07-07,1838.27,1358.72,479.55
101,6,2024-08-08,1862.37,1499.65,362.72
102,6,2024-09-05,1828.82,1104.77,724.05
103,6,2024-09-25,2035.9,1657.8,378.1
104,6,2024-11-02,1921.52,1207.34,714.18
105,6,2024-12-08,1659.65,930.87,728.78
106,6,2024-12-24,1978.16,1077.67,900.49
107,6,2025-02-01,1558.76,1264.57,294.19
108,6,2025-03-03,1435.14,1141.2,293.94
109,6,2025-04-01,1422.25,858.85,563.4
110,6,2025-05-08,1800.0,1221.29,578.71
111,6,2025-05-23,1501.73,1201.74,299.99
112,6,2025-07-02,1926.58,1031.31,895.27
113,7,2022-03-01,4016.31,2633.44,1382.87
114,7,2022-03-28,3854.61,3020.57,834.04
115,7,2022-04-26,3713.67,2589.52,1124.15
116,7,2022-05-31,3235.27,2450.34,784.93
117,7,2022-06-18,3141.45,2741.99,399.46
118,7,2022-08-02,3483.5,3111.89,371.61
119,8,2020-07-03,740.41,517.46,222.95
120,8,2020-07-25,655.03,340.46,314.57
121,8,2020-08-21,684.61,569.42,115.19
122,8,2020-09-28,760.34,629.46,130.88
123,8,2020-10-24,739.25,427.47,311.78
124,8,2020-11-25,727.41,388.0,339.41
125,8,2021-01-03,604.11,509.88,94.23
126,8,2021-01-17,683.75,346.25,337.5
127,8,2021-03-03,601.62,309.0,292.62
128,8,2021-03-22,710.3,444.68,265.62
129,8,2021-05-05,719.8,607.62,112.18
130,8,2021-05-20,617.66,448.62,169.04
131,8,2021-06-17,581.09,448.25,132.84
132,8,2021-07-17,610.78,433.26,177.52
133,8,2021-08-17,569.87,342.53,227.34
134,8,2021-09-14,732.61,410.16,322.45
135,8,2021-10-23,633.44,382.9,250.54
136,8,2021-11-30,581.69,506.24,75.45
137,8,2021-12-12,596.93,533.99,62.94
138,8,2022-01-21,717.04,596.97,120.07
139,8,2022-02-15,620.44,510.02,110.42
140,8,2022-03-27,725.03,380.65,344.38
141,8,2022-04-28,648.96,391.45,257.51
142,8,2022-05-19,849.33,677.34,171.99
143,8,2022-06-24,798.92,453.11,345.81
144,8,2022-07-16,707.83,360.14,347.69
145,8,2022-08-22,644.82,324.18,320.64
146,8,2022-09-26,823.99,497.8,326.19
147,8,2022-10-17,782.79,496.53,286.26
148,8,2022-11-23,794.27,701.32,92.95
149,8,2022-12-19,821.34,441.0,380.34
150,8,2023-01-12,619.19,337.18,282.01
151,8,2023-02-19,688.61,541.96,146.65
152,8,2023-03-13,659.29,395.47,263.82
153,8,2023-04-20,708.86,530.03,178.83
154,8,2023-05-21,729.67,527.11,202.56
155,8,2023-06-21,625.6,313.78,311.82
156,8,2023-07-05,780.62,499.0,281.62
157,8,2023-08-23,703.63,361.48,342.15
158,8,2023-09-18,692.65,615.0,77.65
159,8,2023-10-06,642.24,556.29,85.95
160,8,2023-11-09,723.86,449.02,274.84
161,8,2023-12-21,818.24,473.72,344.52
162,8,2024-01-03,591.82,335.05,256.77
163,8,2024-02-05,682.57,348.04,334.53
164,8,2024-03-06,827.24,583.84,243.4
165,8,2024-04-03,808.05,669.62,138.43
166,8,2024-05-20,839.3,599.92,239.38
167,8,2024-06-11,745.98,456.41,289.57
168,8,2024-07-04,575.31,328.26,247.05
169,8,2024-08-02,841.87,635.58,206.29
170,8,2024-09-05,748.18,664.49,83.69
171,8,2024-10-01,790.21,402.86,387.35
172,8,2024-11-03,583.03,374.11,208.92
173,8,2024-12-15,634.19,491.41,142.78
174,8,2025-01-04,617.16,537.07,80.09
175,8,2025-01-30,844.68,509.96,334.72
176,8,2025-03-02,591.5,332.77,258.73
177,8,2025-04-01,783.99,567.66,216.33
178,8,2025-05-11,697.69,393.69,304.0
179,8,2025-06-06,574.54,423.54,151.0
180,8,2025-07-09,606.95,386.89,220.06
181,9,2025-05-19,6482.36,5735.42,746.94
182,9,2025-06-18,7053.94,4067.13,2986.81
183,9,2025-07-02,5773.44,4890.31,883.13
184,10,2021-11-15,882.53,686.06,196.47
185,10,2021-12-24,901.0,690.93,210.07
186,10,2022-01-12,679.73,447.72,232.01
187,10,2022-02-21,717.8,483.7,234.1
188,10,2022-03-26,795.41,674.72,120.69
189,10,2022-04-17,868.85,589.0,279.85
190,10,2022-05-22,844.23,550.93,293.3
191,10,2022-06-21,810.59,513.13,297.46
192,11,2020-08-15,11319.54,6979.77,4339.77
193,11,2020-09-18,11353.37,7918.23,3435.14
194,11,2020-10-06,12659.85,7137.8,5522.05
195,11,2020-11-08,10444.82,8904.98,1539.84
196,11,2020-12-24,11786.92,10455.46,1331.46
197,11,2021-01-14,10428.75,8873.96,1554.79
198,12,2022-04-02,2002.04,1252.16,749.88
199,12,2022-04-29,2223.59,1855.29,368.3
200,12,2022-06-08,2159.73,1666.36,493.37
201,12,2022-07-08,1892.58,1601.45,291.13
202,12,2022-08-04,1846.21,1226.03,620.18
203,12,2022-09-05,2157.9,1130.43,1027.47
204,12,2022-09-30,1916.23,1492.56,423.67
205,12,2022-11-06,2217.95,1716.08,501.87
206,12,2022-11-20,1910.93,1595.47,315.46
207,12,2022-12-27,2204.18,1739.45,464.73
208,12,2023-01-29,2042.16,1751.02,291.14
209,12,2023-03-04,2370.04,1830.63,539.41
210,12,2023-03-29,1987.25,1297.68,689.57
211,12,2023-04-18,1688.86,1244.44,444.42
212,12,2023-06-07,1777.47,1223.1,554.37
213,12,2023-07-02,2415.56,1334.72,1080.84
214,13,2024-05-15,5385.67,3568.59,1817.08
215,14,2023-11-22,3099.95,2335.16,764.79
216,14,2024-01-06,3661.12,2937.16,723.96
217,14,2024-01-29,2646.92,1490.02,1156.9
218,14,2024-02-21,2902.4,1454.56,1447.84
219,14,2024-03-31,2977.32,1601.9,1375.42
220,14,2024-04-17,3202.81,2847.81,355.0
221,14,2024-05-16,3021.8,2231.24,790.56
222,14,2024-06-15,2524.1,2184.26,339.84
223,14,2024-07-26,3399.43,2607.13,792.3
224,14,2024-09-01,2967.98,2663.62,304.36
225,14,2024-09-30,3388.5,2745.4,643.1
226,14,2024-10-29,2579.78,1700.96,878.82
227,14,2024-11-29,2828.77,2237.82,590.95
228,14,2024-12-29,3620.08,2537.89,1082.19
229,14,2025-01-25,2998.09,2264.24,733.85
230,14,2025-02-10,3025.6,2633.76,391.84
231,14,2025-03-29,3460.32,1987.38,1472.94
232,14,2025-04-19,3178.51,1906.58,1271.93
233,14,2025-05-25,3473.1,2093.45,1379.65
234,14,2025-06-25,3608.36,3033.63,574.73
235,15,2019-03-08,2836.68,2181.3,655.38
236,15,2019-04-06,2657.66,2294.2,363.46
237,15,2019-04-29,2234.45,1127.74,1106.71
238,15,2019-06-13,1989.1,1613.99,375.11
239,15,2019-07-15,2687.87,1416.31,1271.56
240,15,2019-08-03,2950.56,2227.14,723.42
241,15,2019-09-05,2102.26,1456.61,645.65
242,15,2019-10-08,2884.11,2322.5,561.61
243,15,2019-11-08,2848.52,2412.73,435.79
244,15,2019-12-01,2188.27,1189.22,999.05
245,15,2020-01-06,2942.1,1779.04,1163.06
246,16,2020-08-05,7965.18,6483.45,1481.73
247,16,2020-09-06,9029.32,4767.4,4261.92
248,16,2020-09-30,7982.69,5058.57,2924.12
249,16,2020-11-01,8538.67,5623.48,2915.19
250,16,2020-11-23,6674.56,4636.73,2037.83
251,16,2020-12-31,7331.7,6134.51,1197.19
252,16,2021-02-01,8062.18,6244.65,1817.53
253,16,2021-02-21,6631.13,3720.96,2910.17
254,16,2021-04-05,8730.67,6662.23,2068.44
255,16,2021-04-18,6433.56,4594.73,1838.83
256,16,2021-05-18,8349.01,5376.6,2972.41
257,16,2021-06-25,6970.94,5588.52,1382.42
258,16,2021-07-29,9224.33,6184.33,3040.0
259,16,2021-08-21,6236.44,3335.55,2900.89
260,16,2021-10-01,7700.18,4793.61,2906.57
261,16,2021-10-21,7364.05,5595.52,1768.53
262,16,2021-11-23,8789.07,5550.72,3238.35
263,16,2022-01-01,8157.57,5734.47,2423.1
264,16,2022-01-13,7588.99,5817.99,1771.0
265,16,2022-02-12,8244.74,5310.69,2934.05
266,16,2022-03-20,8433.8,6652.45,1781.35
267,16,2022-04-20,8217.34,4703.05,3514.29
268,16,2022-05-26,8250.4,4539.29,3711.11
269,16,2022-06-16,8020.13,6500.46,1519.67
270,16,2022-07-28,7041.95,4824.08,2217.87
271,16,2022-08-15,8341.14,4223.42,4117.72
272,16,2022-09-11,9244.91,6743.01,2501.9
273,16,2022-10-28,8920.21,4975.64,3944.57
274,16,2022-11-24,6862.06,5742.02,1120.04
275,16,2022-12-16,9142.49,6811.98,2330.51
276,16,2023-01-26,7053.6,3707.03,3346.57
277,16,2023-02-11,7808.45,6709.73,1098.72
278,16,2023-03-23,8757.2,7745.36,1011.84
279,16,2023-04-09,7429.18,5961.66,1467.52
280,16,2023-05-22,7499.76,5776.45,1723.31
281,16,2023-06-21,8455.78,6440.35,2015.43
282,16,2023-07-06,8473.22,5449.14,3024.08
283,16,2023-08-15,9198.89,7402.81,1796.08
284,16,2023-09-04,7325.67,5730.55,1595.12
285,16,2023-10-08,7521.15,6680.98,840.17
286,16,2023-11-13,6249.03,4405.65,1843.38
287,16,2023-12-09,6707.97,3715.88,2992.09
288,16,2024-01-13,7051.68,5004.43,2047.25
289,16,2024-02-08,7462.14,5281.85,2180.29
290,16,2024-03-19,7378.23,4199.04,3179.19
291,16,2024-04-18,7275.97,6124.94,1151.03
292,16,2024-05-06,8319.28,7243.19,1076.09
293,16,2024-06-06,7844.02,6073.43,1770.59
294,16,2024-07-10,6198.24,5232.65,965.59
295,16,2024-08-01,6769.43,3808.52,2960.91
296,16,2024-09-17,9008.55,7418.48,1590.07
297,16,2024-10-18,8655.51,4431.69,4223.82
298,16,2024-10-30,7904.27,6941.82,962.45
299,16,2024-12-02,7281.28,6445.26,836.02
300,16,2025-01-07,6178.49,5311.56,866.93
301,16,2025-02-01,7752.68,5759.89,1992.79
302,16,2025-03-02,7465.9,6402.76,1063.14
303,16,2025-04-06,6718.09,4046.95,2671.14
304,16,2025-05-14,7891.0,5222.83,2668.17
305,16,2025-06-08,7518.3,5393.66,2124.64
306,16,2025-07-15,7168.32,4290.43,2877.89
307,17,2022-12-23,1539.89,1026.08,513.81
308,17,2023-01-08,1482.74,866.08,616.66
309,17,2023-02-22,1645.91,988.4,657.51
310,17,2023-03-24,1532.52,1377.18,155.34
311,17,2023-04-14,1793.04,1350.22,442.82
312,17,2023-05-14,1663.52,1453.28,210.24
313,17,2023-06-20,1508.07,1185.94,322.13
314,17,2023-07-19,1483.04,1012.39,470.65
315,17,2023-08-20,1769.11,1463.81,305.3
316,17,2023-09-21,1608.55,1349.23,259.32
317,18,2018-10-24,11080.54,9742.21,1338.33
318,18,2018-11-19,10012.96,8167.6,1845.36
319,18,2018-12-24,13457.75,8548.58,4909.17
320,18,2019-01-17,10836.32,6014.26,4822.06
321,18,2019-02-23,9596.6,6065.72,3530.88
322,18,2019-03-19,11221.49,8010.87,3210.62
323,18,2019-04-22,13691.26,11355.08,2336.18
324,18,2019-06-01,10297.12,7830.72,2466.4
325,18,2019-07-01,12462.4,9883.9,2578.5
326,18,2019-07-26,13382.03,10029.72,3352.31
327,18,2019-08-21,9817.34,8068.96,1748.38
328,18,2019-09-22,13581.76,6881.61,6700.15
329,18,2019-10-26,11181.53,9937.48,1244.05
330,18,2019-11-15,13251.11,8379.01,4872.1
331,18,2019-12-18,11918.95,9848.4,2070.55
332,18,2020-01-13,13725.77,10775.39,2950.38
333,18,2020-02-11,12548.05,6935.49,5612.56
334,18,2020-03-28,13501.39,10183.71,3317.68
335,18,2020-04-09,9213.3,8269.08,944.22
336,18,2020-05-11,11069.57,5556.0,5513.57
337,18,2020-06-11,9255.01,4765.06,4489.95
338,18,2020-07-07,13738.06,6934.09,6803.97
339,18,2020-08-08,11508.54,5767.14,5741.4
340,18,2020-09-24,11985.3,6565.9,5419.4
341,18,2020-10-11,10412.98,8363.29,2049.69
342,18,2020-11-10,9392.72,6482.42,2910.3
343,18,2020-12-22,11086.66,9167.3,1919.36
344,18,2021-01-23,13242.2,7896.63,5345.57
345,18,2021-02-19,13499.91,10843.49,2656.42
346,18,2021-03-21,12931.26,11557.91,1373.35
347,18,2021-04-13,9889.77,8681.44,1208.33
348,18,2021-05-03,12018.98,10745.83,1273.15
349,18,2021-06-09,9368.64,7276.98,2091.66
350,18,2021-07-08,13427.44,7286.61,6140.83
351,18,2021-08-18,10305.71,5777.4,4528.31
352,18,2021-09-07,13720.12,12273.38,1446.74
353,18,2021-10-14,10043.27,7243.22,2800.05
354,18,2021-10-30,13632.73,11992.42,1640.31
355,18,2021-12-08,11509.31,8250.1,3259.21
356,18,2022-01-04,12495.94,10667.41,1828.53
357,18,2022-02-04,13128.6,10427.9,2700.7
358,18,2022-03-05,12001.38,6293.07,5708.31
359,18,2022-04-17,11453.5,5752.05,5701.45
360,18,2022-04-29,11982.74,6707.74,5275.0
361,18,2022-06-13,9873.28,7273.0,2600.28
362,18,2022-07-04,10641.09,6920.07,3721.02
363,18,2022-08-01,10705.67,6616.51,4089.16
364,18,2022-09-02,12711.04,8233.56,4477.48
365,18,2022-09-25,9770.47,5346.33,4424.14
366,18,2022-11-03,9493.06,5584.76,3908.3
367,18,2022-11-29,12286.86,9194.74,3092.12
368,18,2023-01-05,10737.63,6762.65,3974.98
369,18,2023-02-11,13731.94,7025.9,6706.04
370,18,2023-03-14,10977.87,9846.66,1131.21
371,18,2023-03-25,11948.03,8069.53,3878.5
372,18,2023-05-09,13082.06,9877.55,3204.51
373,18,2023-06-08,10776.33,8020.74,2755.59
374,18,2023-07-05,9660.28,5832.13,3828.15
375,18,2023-08-03,12313.0,7687.14,4625.86
376,18,2023-08-25,12645.63,10968.6,1677.03
377,18,2023-09-26,10134.94,6763.93,3371.01
378,18,2023-11-03,12618.39,11341.46,1276.93
379,18,2023-11-27,11484.7,6643.27,4841.43
380,18,2023-12-30,9573.18,7464.34,2108.84
381,18,2024-01-20,13445.39,10194.82,3250.57
382,18,2024-02-24,10183.13,8729.58,1453.55
383,18,2024-03-19,11267.3,9735.75,1531.55
384,18,2024-05-02,11655.75,6947.84,4707.91
385,18,2024-06-05,10713.16,8088.65,2624.51
386,18,2024-06-27,12322.93,7400.94,4921.99
387,18,2024-08-01,13153.5,7635.49,5518.01
388,18,2024-08-29,10693.09,7117.35,3575.74
389,19,2023-12-20,1736.56,950.08,786.48
390,19,2024-01-19,1821.8,1279.47,542.33
391,19,2024-02-29,1645.21,847.77,797.44
392,19,2024-03-17,1617.94,1186.26,431.68
393,19,2024-04-25,1411.49,871.43,540.06
394,19,2024-05-30,1474.26,870.09,604.17
395,19,2024-07-03,1308.63,1137.94,170.69
396,19,2024-07-31,1369.92,1094.96,274.96
397,19,2024-08-29,1731.37,1219.34,512.03
398,19,2024-09-20,1308.98,1045.93,263.05
399,19,2024-10-20,1251.69,1061.19,190.5
400,19,2024-11-13,1535.94,795.39,740.55
401,19,2024-12-16,1433.81,836.31,597.5
402,19,2025-01-10,1629.55,824.97,804.58
403,19,2025-02-18,1802.74,1202.85,599.89
404,19,2025-03-18,1261.01,906.53,354.48
405,19,2025-04-20,1447.15,981.62,465.53
406,19,2025-05-26,1857.82,1471.21,386.61
407,19,2025-06-27,1802.36,1126.92,675.44
408,19,2025-07-14,1345.53,919.62,425.91
409,20,2024-03-04,1788.95,1043.25,745.7
410,20,2024-03-27,1930.94,1160.26,770.68
411,20,2024-04-27,2384.02,1599.71,784.31
412,20,2024-05-16,2111.91,1646.62,465.29
413,20,2024-06-28,2247.91,1608.32,639.59
414,20,2024-08-01,1950.83,1456.53,494.3
415,20,2024-08-14,1797.98,940.98,857.0
416,20,2024-09-18,2047.66,1829.78,217.88
417,20,2024-10-13,2488.76,1438.6,1050.16
418,20,2024-11-13,1816.05,1553.0,263.05
419,20,2024-12-12,1807.57,1618.47,189.1
420,20,2025-01-20,2278.36,1819.37,458.99
421,20,2025-02-13,2109.19,1412.97,696.22
422,20,2025-03-17,2113.9,1397.29,716.61
423,20,2025-04-24,1938.9,1491.98,446.92
424,20,2025-05-17,2517.39,1313.34,1204.05
425,20,2025-06-19,1796.49,1207.86,588.63
426,20,2025-07-25,2116.6,1830.92,285.68
427,21,2021-04-07,532.08,384.32,147.76
428,21,2021-04-24,380.37,228.89,151.48
429,21,2021-05-21,507.65,417.95,89.7
430,21,2021-06-17,447.21,379.38,67.83
431,21,2021-07-30,543.29,385.88,157.41
432,21,2021-08-19,494.22,373.71,120.51
433,21,2021-09-23,557.42,331.32,226.1
434,21,2021-10-30,399.48,249.54,149.94
435,21,2021-11-18,495.49,383.21,112.28
436,21,2021-12-21,404.42,221.56,182.86
437,22,2024-03-04,4846.77,3398.08,1448.69
438,22,2024-04-01,3656.55,3068.19,588.36
439,22,2024-05-06,3661.76,2016.24,1645.52
440,22,2024-05-30,3658.47,2858.17,800.3
441,22,2024-06-25,3659.87,2543.7,1116.17
442,22,2024-08-11,4409.15,3427.64,981.51
443,23,2023-06-06,3706.01,3198.63,507.38
444,23,2023-07-06,3275.68,2821.02,454.66
445,23,2023-07-24,4099.59,2796.87,1302.72
446,23,2023-09-03,3769.44,2108.32,1661.12
447,23,2023-09-26,4766.2,2666.57,2099.63
448,23,2023-10-30,3833.42,2937.4,896.02
449,23,2023-11-15,3711.74,1957.77,1753.97
450,23,2023-12-25,3965.96,3104.88,861.08
451,23,2024-01-25,3495.35,2411.74,1083.61
452,23,2024-02-26,3955.93,2876.91,1079.02
453,23,2024-03-14,3299.77,2070.79,1228.98
454,23,2024-04-21,3810.72,2549.25,1261.47
455,23,2024-05-17,3361.85,1855.18,1506.67
456,23,2024-06-12,4063.33,2292.77,1770.56
457,23,2024-07-22,4117.62,2939.09,1178.53
458,23,2024-08-29,4217.23,2274.17,1943.06
459,23,2024-09-24,3649.79,2297.02,1352.77
460,23,2024-10-20,4189.54,3398.44,791.1
461,23,2024-11-22,4695.27,2586.22,2109.05
462,23,2024-12-09,3416.51,2522.06,894.45
463,23,2025-01-08,4378.8,3770.67,608.13
464,23,2025-02-13,3909.82,3118.21,791.61
465,23,2025-03-19,3387.62,2568.6,819.02
466,23,2025-04-22,3725.0,2224.12,1500.88
467,23,2025-05-16,3669.28,2236.44,1432.84
468,23,2025-06-09,4085.37,2497.54,1587.83
469,23,2025-07-19,4245.49,2628.12,1617.37
470,24,2025-07-02,3173.72,2632.41,541.31
471,24,2025-07-17,3043.57,2496.29,547.28
472,25,2023-09-19,5775.28,4943.67,831.61
473,25,2023-10-27,7406.58,5115.49,2291.09
474,25,2023-11-19,6290.54,5564.06,726.48
475,25,2023-12-28,5162.8,3371.14,1791.66
476,25,2024-01-21,7569.68,6172.98,1396.7
477,25,2024-02-27,6916.42,4841.21,2075.21
478,25,2024-03-13,6038.07,3272.97,2765.1
479,25,2024-04-26,5687.51,3195.27,2492.24
480,25,2024-05-20,5448.33,3110.21,2338.12
481,25,2024-06-26,7326.56,4238.95,3087.61
482,25,2024-07-19,5712.64,4042.04,1670.6
483,25,2024-08-06,6583.7,5839.12,744.58
484,25,2024-09-13,5812.09,3314.06,2498.03
485,26,2019-10-16,11412.53,7208.76,4203.77
486,26,2019-11-11,13199.58,7573.62,5625.96
487,26,2019-12-11,10652.74,5381.7,5271.04
488,26,2020-01-20,12531.15,8050.29,4480.86
489,26,2020-02-02,13498.25,9533.63,3964.62
490,26,2020-03-17,11237.47,5664.19,5573.28
491,26,2020-04-03,9906.81,7872.14,2034.67
492,26,2020-05-14,12790.08,8149.05,4641.03
493,26,2020-06-14,12844.17,9928.11,2916.06
494,26,2020-07-13,12988.84,6870.74,6118.1
495,26,2020-08-20,14110.4,11549.42,2560.98
496,26,2020-09-11,13754.65,9528.08,4226.57
497,26,2020-09-29,11108.66,6052.64,5056.02
498,27,2025-03-02,7556.29,4221.09,3335.2
499,27,2025-03-30,6686.68,5944.96,741.72
500,27,2025-04-30,7834.29,4443.93,3390.36
501,27,2025-05-19,6099.51,4407.85,1691.66
502,27,2025-06-23,6775.68,3855.42,2920.26
503,27,2025-07-23,6854.16,5041.4,1812.76
504,28,2022-02-14,4053.73,2157.18,1896.55
505,28,2022-03-16,4165.61,2865.41,1300.2
506,28,2022-04-26,3956.34,2578.01,1378.33
507,29,2021-11-18,260.46,149.34,111.12
508,29,2021-12-24,312.98,239.35,73.63
509,29,2022-01-12,343.45,217.32,126.13
510,29,2022-02-15,268.9,236.14,32.76
511,29,2022-03-05,292.88,162.03,130.85
512,29,2022-04-07,306.67,177.91,128.76
513,29,2022-05-12,262.75,208.74,54.01
514,29,2022-06-13,292.79,199.91,92.88
515,29,2022-07-04,367.37,213.54,153.83
516,29,2022-08-21,343.88,201.79,142.09
517,29,2022-09-08,300.04,195.28,104.76
518,29,2022-10-20,368.69,192.26,176.43
519,29,2022-11-17,321.94,184.42,137.52
520,29,2022-12-16,306.04,186.23,119.81
521,30,2022-02-27,3831.97,2157.84,1674.13
522,30,2022-03-09,4065.36,2218.75,1846.61
523,30,2022-04-13,3921.34,3317.62,603.72
524,30,2022-05-23,4585.37,3229.62,1355.75
525,30,2022-06-23,4608.78,2896.58,1712.2
526,30,2022-07-27,3966.21,2571.13,1395.08
527,30,2022-08-20,4712.61,4213.0,499.61
528,30,2022-09-18,5236.04,2783.77,2452.27
529,30,2022-10-15,5132.27,4611.63,520.64
530,30,2022-11-15,4607.81,3459.86,1147.95
531,30,2022-12-24,4396.03,3193.56,1202.47
532,30,2023-01-18,4942.56,2960.74,1981.82
533,30,2023-02-17,4193.72,2725.06,1468.66
534,30,2023-03-10,3684.46,2077.87,1606.59
535,30,2023-04-03,5003.56,3918.41,1085.15
536,30,2023-05-21,4448.47,3023.95,1424.52
537,30,2023-06-22,4889.7,4064.17,825.53
538,30,2023-07-07,4299.84,2934.81,1365.03
539,30,2023-08-08,4608.22,3639.41,968.81
540,30,2023-09-01,4008.86,2459.16,1549.7
541,30,2023-10-20,3903.92,3003.2,900.72
542,30,2023-10-31,4116.36,2382.69,1733.67
543,30,2023-12-15,4194.9,2758.43,1436.47
544,30,2024-01-09,4493.44,2631.5,1861.94
545,31,2023-08-13,4936.47,2796.64,2139.83
546,31,2023-09-14,6763.27,5563.38,1199.89
547,31,2023-10-17,5924.55,3436.17,2488.38
548,31,2023-11-05,6156.06,4897.89,1258.17
549,31,2023-12-08,4990.89,3161.33,1829.56
550,31,2024-01-04,5707.14,4756.44,950.7
551,31,2024-02-08,6690.39,4544.61,2145.78
552,31,2024-03-05,7105.7,5500.29,1605.41
553,31,2024-04-21,7055.32,4547.58,2507.74
554,31,2024-05-04,6003.24,4258.36,1744.88
