transaction_id,account_id,transaction_type,amount,transaction_date,description,status,recipient_account_id
119,232,إيداع,4318.46,2025-05-25 14:48:07.341017,Soluta sapiente tempora totam eos praesentium nisi.,فاشلة,
120,973,تحويل,4330.29,2024-07-08 18:16:19.122448,Omnis sequi neque harum natus labore.,معلقة,93.0
121,962,دفع فواتير,166.63,2025-06-10 07:02:56.037914,Reiciendis velit ipsa dolor cumque ratione debitis.,فاشلة,
122,434,تحويل,447.4,2025-05-23 04:12:19.615998,Tempora provident odit repellat ratione.,فاشلة,58.0
123,981,إيداع,885.85,2025-07-26 15:25:17.572361,Quae recusandae voluptate laudantium nihil eum adipisci.,ناجحة,
124,75,تحويل,2513.82,2020-02-09 14:45:12.178423,Dignissimos debitis labore dolorem aliquid pariatur eligendi at.,معلقة,552.0
125,56,تحويل,1861.9,2025-05-11 02:15:26.181012,Eligendi cum incidunt iusto cupiditate ut repudiandae molestias.,معلقة,613.0
126,985,إيداع,1207.03,2024-11-11 02:31:10.926680,Perspiciatis numquam eligendi consectetur modi corrupti voluptatum repudiandae.,ناجحة,
127,920,إيداع,793.82,2020-07-29 21:36:55.615716,Saepe architecto ut harum a.,فاشلة,
128,111,إيداع,1617.98,2025-06-07 01:05:39.722340,Exercitationem optio libero fuga et tenetur ut.,فاشلة,
129,140,سحب,3473.69,2022-01-07 03:30:06.547637,Saepe quisquam magni recusandae est iste dolorum laudantium.,معلقة,
130,610,دفع فواتير,112.93,2023-09-11 01:37:10.163995,Eos eveniet in corrupti.,ناجحة,
131,606,إيداع,1447.51,2025-07-11 12:36:53.216075,Tempore similique quibusdam iure dolore velit.,فاشلة,
132,11,سحب,1655.88,2023-04-09 05:39:17.046007,Fugiat numquam quaerat deleniti fugiat dignissimos mollitia fugiat.,فاشلة,
133,18,دفع فواتير,1705.88,2025-02-19 18:00:02.823200,Pariatur praesentium dignissimos doloribus natus amet asperiores vitae.,ناجحة,
134,216,سحب,153.57,2025-07-20 04:23:31.647702,Neque id aliquam architecto expedita asperiores in reiciendis.,معلقة,
135,370,دفع فواتير,3912.28,2025-06-20 20:21:55.477730,Ex culpa illum nihil.,فاشلة,
136,749,إيداع,4582.37,2024-11-23 02:11:55.445083,Itaque cupiditate laborum fuga excepturi est.,فاشلة,
137,93,سحب,2561.06,2022-01-14 16:03:10.544633,Dolore dicta nesciunt eveniet iusto sunt ipsum laboriosam.,فاشلة,
138,674,سحب,162.75,2024-07-27 00:32:52.095513,Molestias veniam nisi nostrum consequuntur consectetur.,ناجحة,
139,788,دفع فواتير,4929.7,2025-01-14 14:37:51.424025,Cum ab aliquam ad.,معلقة,
140,848,دفع فواتير,4903.74,2024-06-11 06:21:52.907458,Aliquam natus expedita animi quaerat enim saepe dicta.,ناجحة,
141,824,إيداع,3648.81,2025-07-11 19:07:17.617406,Aliquid nostrum eligendi similique dolorum alias numquam veniam.,معلقة,
142,962,دفع فواتير,3443.02,2025-06-08 09:23:18.276738,Cumque a modi ullam amet.,ناجحة,
143,141,إيداع,2686.84,2025-03-20 10:49:33.442327,Impedit praesentium doloremque beatae.,معلقة,
144,613,تحويل,4553.93,2025-05-19 07:11:09.252057,Aliquam neque tenetur sequi.,فاشلة,820.0
145,783,دفع فواتير,2500.75,2025-05-13 04:57:02.148858,Consectetur asperiores provident soluta harum sunt neque sit.,ناجحة,
146,537,إيداع,3774.24,2025-03-26 09:45:39.299201,Ex tempora architecto maiores.,فاشلة,
147,233,سحب,3283.13,2025-05-25 12:17:54.533395,Nobis porro laudantium aliquid labore.,فاشلة,
148,506,سحب,892.58,2022-05-29 03:51:45.906621,Molestias sed doloribus esse.,فاشلة,
149,140,دفع فواتير,639.19,2018-07-10 19:18:34.718711,Quasi quo necessitatibus ducimus reiciendis ipsum rerum.,معلقة,
150,311,سحب,306.32,2024-07-20 17:46:42.571052,Amet a numquam deleniti fugiat.,فاشلة,
151,500,تحويل,899.87,2024-12-13 04:27:29.218016,Optio blanditiis quaerat laudantium dolores enim.,معلقة,237.0
152,275,إيداع,1832.8,2025-06-28 11:58:00.389014,Voluptas corporis ut placeat.,معلقة,
153,640,دفع فواتير,520.41,2024-06-08 15:15:40.920598,Dolore dolor ex.,معلقة,
154,623,إيداع,2135.04,2025-05-27 20:43:12.169133,Mollitia minima voluptatum consequatur.,معلقة,
155,479,إيداع,4761.34,2021-04-04 06:38:41.266676,Repellendus delectus repudiandae ea omnis expedita.,فاشلة,
156,549,سحب,1709.34,2025-05-30 22:03:16.625840,Vel reprehenderit facere nisi numquam dolorum.,فاشلة,
157,298,تحويل,4715.6,2018-12-28 18:38:20.856909,Assumenda deserunt sequi animi.,ناجحة,119.0
158,653,تحويل,169.34,2025-06-12 01:29:49.664946,Corporis ratione corrupti repellendus delectus.,فاشلة,128.0
159,701,دفع فواتير,3894.77,2022-03-30 21:21:20.062056,Cum magni et quibusdam.,ناجحة,
160,399,سحب,1402.77,2025-07-14 19:23:20.898118,Expedita id in accusantium consectetur amet.,ناجحة,
161,959,تحويل,1661.53,2025-05-21 11:40:43.302456,Sunt doloribus distinctio architecto rerum eligendi nesciunt.,فاشلة,365.0
162,761,سحب,3715.03,2024-08-30 07:18:05.872235,Quas amet nam sint fugiat corporis.,ناجحة,
163,521,إيداع,3732.37,2025-05-02 10:03:44.720564,Eos minus quas quo labore.,فاشلة,
164,757,إيداع,2361.69,2025-07-26 17:36:58.599647,Minus veritatis fuga porro architecto.,ناجحة,
165,697,دفع فواتير,3698.77,2025-06-05 19:54:42.486826,Eaque ut doloremque quia iure nesciunt incidunt.,معلقة,
166,884,دفع فواتير,3894.36,2023-06-17 07:07:38.849904,Consequuntur quisquam corrupti illum.,معلقة,
167,79,دفع فواتير,323.6,2025-07-26 02:31:07.563276,Aut alias totam quod totam et.,ناجحة,
168,391,إيداع,1315.74,2025-04-17 19:10:49.566060,Voluptatum dolor iusto repudiandae.,فاشلة,
169,81,تحويل,575.49,2024-03-20 02:36:33.309045,Minima dolor eaque enim adipisci adipisci.,معلقة,231.0
170,72,سحب,3367.08,2025-07-19 00:33:50.382038,Pariatur corrupti architecto consequuntur recusandae sequi earum illum.,ناجحة,
171,316,إيداع,1570.09,2024-06-05 17:58:17.236685,Alias repudiandae neque sequi deserunt magnam.,فاشلة,
172,879,تحويل,4091.07,2021-12-22 11:39:41.279082,Maiores officiis quae.,معلقة,362.0
173,490,سحب,1315.19,2024-12-17 03:45:21.365611,Quisquam iure et et rerum nihil at minima.,ناجحة,
174,552,سحب,3058.58,2022-02-08 08:59:10.265198,Nostrum provident dolores molestiae ea.,ناجحة,
175,258,إيداع,4104.72,2025-02-07 11:27:15.123770,Adipisci sint ipsa sapiente.,معلقة,
176,979,تحويل,653.08,2025-07-16 18:58:51.833697,Ea odio quis ad eos aliquid.,ناجحة,158.0
177,954,تحويل,2669.13,2025-03-20 12:41:23.017380,Deserunt totam minima nihil eos aperiam.,معلقة,389.0
178,155,تحويل,4291.87,2024-02-03 16:40:36.010197,Quae ad soluta dicta odio.,فاشلة,205.0
179,284,سحب,711.25,2024-01-03 09:22:08.557029,Autem ipsa nemo sequi distinctio rem voluptate beatae.,فاشلة,
180,631,سحب,4484.18,2021-04-11 18:38:14.629535,Odio quia dignissimos voluptates veniam.,معلقة,
181,25,إيداع,2069.45,2022-10-06 04:38:10.081610,Labore cumque impedit molestiae provident dolorum.,معلقة,
182,771,سحب,441.27,2023-08-05 20:41:52.360713,Consequatur dolorum labore eum fuga nostrum.,ناجحة,
183,713,تحويل,2680.56,2021-11-11 06:49:04.341925,Quaerat dolore a.,معلقة,915.0
184,632,سحب,2120.39,2023-10-29 09:06:40.823623,Sint minus quod repellendus.,معلقة,
185,467,دفع فواتير,4315.2,2025-07-18 11:18:56.663885,Repellendus expedita tenetur beatae.,ناجحة,
186,286,دفع فواتير,4331.12,2025-04-28 12:45:59.476252,Vel harum quas iste nisi repudiandae earum.,فاشلة,
187,616,تحويل,2424.81,2025-07-03 21:41:28.404062,Minima eveniet quod.,فاشلة,182.0
188,935,دفع فواتير,4727.89,2025-07-18 15:16:36.168311,Expedita repudiandae ex officiis recusandae ab voluptate.,معلقة,
189,525,سحب,186.12,2025-07-13 05:00:06.573501,Occaecati doloremque quaerat cumque quidem.,ناجحة,
190,85,إيداع,169.98,2025-07-21 20:16:58.580213,Harum porro nisi.,فاشلة,
191,749,سحب,4685.62,2024-11-22 18:04:50.976593,Labore nihil modi.,معلقة,
192,954,إيداع,2461.24,2025-02-25 06:49:18.226354,Fugit aspernatur placeat delectus odio architecto ipsa inventore.,معلقة,
193,859,دفع فواتير,3359.45,2025-03-18 13:28:42.833731,Excepturi voluptatem blanditiis cumque quas fugit.,ناجحة,
194,947,دفع فواتير,3173.94,2024-10-16 18:34:46.332057,Omnis molestiae possimus officiis.,معلقة,
195,150,إيداع,1838.19,2025-06-22 21:44:13.283110,Tenetur tempora quam voluptates.,معلقة,
196,666,دفع فواتير,1350.97,2025-06-23 20:49:15.834490,Magnam voluptate alias.,معلقة,
197,908,دفع فواتير,398.18,2023-12-16 14:08:15.286307,Hic in saepe neque exercitationem.,معلقة,
198,35,تحويل,3316.63,2025-03-03 20:56:01.423224,Hic officiis cum voluptatum odio.,فاشلة,642.0
199,963,دفع فواتير,1073.02,2023-10-11 21:48:58.526409,Saepe recusandae nemo veritatis corrupti vitae.,معلقة,
200,19,سحب,3857.2,2023-11-22 17:28:00.553444,Distinctio magnam libero laborum.,معلقة,
201,59,تحويل,3220.48,2025-04-03 05:52:39.533134,Eveniet repellendus tempore illo repellendus reprehenderit.,ناجحة,848.0
202,542,دفع فواتير,2150.54,2024-11-13 06:24:34.312457,Nulla corporis accusantium quod dolores tempora enim quas.,فاشلة,
203,717,إيداع,4224.28,2024-11-14 00:34:17.986790,Harum explicabo delectus temporibus.,ناجحة,
204,504,تحويل,1092.03,2024-03-29 15:02:42.745466,Ab nam ab.,فاشلة,371.0
205,206,سحب,328.66,2021-01-07 11:53:38.398933,Quod porro quia dicta optio.,فاشلة,
206,391,سحب,2393.76,2025-05-30 08:40:58.359022,Repellat quae reprehenderit aliquam iure.,معلقة,
207,213,سحب,2184.28,2024-05-20 15:54:34.932555,Neque earum quaerat magni quibusdam.,فاشلة,
208,176,تحويل,4904.63,2022-11-02 05:56:41.432979,Totam dolorum dolorum dicta nobis id itaque.,ناجحة,824.0
209,418,إيداع,3142.65,2025-04-15 05:14:07.478286,Eaque officiis quod aspernatur nam sequi.,فاشلة,
210,256,تحويل,4336.08,2024-12-18 19:43:15.592377,Tenetur dicta maxime earum voluptatem.,فاشلة,1010.0
211,44,إيداع,252.38,2025-05-26 21:06:42.199718,Provident neque voluptas ea ullam totam explicabo eaque.,ناجحة,
212,544,دفع فواتير,3853.87,2024-12-28 10:50:09.515499,Expedita velit nobis rem repudiandae.,فاشلة,
213,636,تحويل,2550.27,2024-10-21 08:41:18.439448,Ullam perspiciatis at accusamus eum.,ناجحة,276.0
214,8,تحويل,4305.63,2024-04-09 12:35:04.904801,Porro quis earum delectus.,فاشلة,593.0
215,202,تحويل,3198.74,2025-07-05 20:52:32.032462,Possimus omnis ab natus nihil error.,معلقة,688.0
216,17,دفع فواتير,4270.58,2025-03-27 16:07:36.070472,Adipisci aliquam laborum maxime accusantium nobis voluptates.,معلقة,
217,755,تحويل,485.61,2024-10-07 14:11:24.010175,Accusamus sit debitis eum aliquid odit.,فاشلة,370.0
218,128,دفع فواتير,4626.04,2023-10-27 18:19:45.159951,Nobis aliquid voluptatum ipsam laborum.,ناجحة,
219,938,إيداع,4378.82,2025-07-19 00:28:53.280550,Delectus blanditiis perspiciatis itaque voluptatem.,ناجحة,
220,497,إيداع,1902.87,2024-10-17 23:37:05.055859,Harum illo hic.,معلقة,
221,939,سحب,1892.03,2025-05-29 15:28:04.389070,Numquam culpa maxime repellendus suscipit.,ناجحة,
222,544,تحويل,1831.68,2025-04-05 10:25:43.499663,Deserunt cumque quis.,ناجحة,871.0
223,290,سحب,4168.43,2023-12-18 22:35:40.918337,Voluptas sint error asperiores sunt explicabo et.,ناجحة,
224,529,دفع فواتير,3120.46,2025-04-06 19:28:26.088225,Aliquam commodi laudantium numquam.,معلقة,
225,49,تحويل,3067.6,2025-07-26 15:10:05.696899,Fugit assumenda maxime est excepturi eum animi.,ناجحة,801.0
226,822,دفع فواتير,1847.89,2025-05-06 06:43:28.652307,Hic vel aliquid doloribus tempore.,ناجحة,
227,249,سحب,3996.77,2023-10-12 13:12:18.869940,Repudiandae enim expedita dolore odit aliquam ea.,ناجحة,
228,92,إيداع,931.48,2023-11-12 09:00:28.266784,Mollitia voluptatem perferendis magni.,معلقة,
229,357,إيداع,1818.67,2025-05-31 15:54:09.690531,Error autem at vitae.,فاشلة,
230,250,دفع فواتير,1092.51,2025-07-23 12:48:55.735626,Sapiente ipsum minima voluptates omnis tempore.,ناجحة,
231,996,إيداع,2338.79,2024-10-21 23:19:20.139923,Ab illo voluptas a architecto.,ناجحة,
232,25,إيداع,2323.16,2025-02-09 14:34:57.996654,Nesciunt quae temporibus natus animi accusamus consequatur voluptas.,ناجحة,
233,198,تحويل,859.8,2025-05-25 03:08:05.310674,Totam esse itaque rem asperiores culpa delectus exercitationem.,ناجحة,985.0
234,584,تحويل,3618.08,2025-06-11 21:54:18.198437,In perspiciatis placeat distinctio veniam perspiciatis.,معلقة,636.0
235,195,تحويل,1565.07,2024-09-18 05:24:10.306997,Vero in odit ut aspernatur voluptatem quos.,معلقة,759.0
236,608,سحب,1802.42,2025-02-08 05:32:24.086233,Possimus laboriosam dolorem aspernatur veritatis quidem.,معلقة,
237,711,سحب,2116.31,2025-07-21 20:53:23.563240,Molestias possimus deleniti ex illum.,ناجحة,
238,768,تحويل,3654.14,2024-07-14 18:12:11.911956,Pariatur inventore cumque adipisci deserunt facilis quasi.,فاشلة,607.0
239,914,إيداع,1826.27,2023-11-16 12:00:49.196748,Atque voluptatem dolorum a architecto.,معلقة,
240,444,إيداع,3235.66,2024-10-02 05:34:54.949378,Corrupti ex sequi architecto.,معلقة,
241,617,دفع فواتير,417.04,2024-07-31 19:56:41.443044,Sint sapiente vero expedita incidunt excepturi officia.,معلقة,
